id,case_id,party_number,victim_role,victim_sex,victim_age,victim_degree_of_injury,victim_seating_position,victim_ejected
2609463,6292121,1,2,female,10,no injury,3,0
2609464,6292121,1,2,male,8,no injury,6,0
2609465,6292121,2,1,male,57,killed,1,1
2609471,6292127,1,1,male,30,killed,1,1
2609472,6292128,1,1,male,58,killed,1,1
2609475,6292133,1,1,male,41,killed,1,1
2609476,6292134,1,1,male,24,other visible injury,1,0
2609477,6292134,1,2,male,32,no injury,3,0
2609478,6292134,2,1,male,54,killed,1,1
2609499,6292140,1,1,male,66,killed,1,1
2609500,6292141,2,1,male,31,killed,1,1
2609512,6292148,1,1,male,46,killed,1,2
2609513,6292149,1,1,female,25,killed,1,1
2609518,6292153,1,1,male,39,killed,1,1
2609526,6292157,2,1,male,57,killed,1,1
2609542,6292165,1,3,female,15,other visible injury,9,3
2609543,6292165,2,1,male,58,killed,1,1
2609559,6292175,1,1,male,52,killed,1,1
2609569,6292184,1,1,male,26,killed,1,1
2609570,6292184,2,2,male,30,no injury,3,0
2609579,6292187,1,1,male,36,killed,1,1
2609589,6292194,1,1,male,30,killed,1,1
2609590,6292194,2,2,female,23,no injury,3,0
2609591,6292194,2,1,male,23,complaint of pain,1,0
2609592,6292194,3,3,female,67,complaint of pain,9,3
2609616,6292210,1,1,male,35,killed,1,1
2609617,6292210,2,2,female,23,no injury,3,0
2609618,6292211,2,1,male,49,killed,1,1
2609631,6292221,1,1,male,46,killed,1,1
2609670,6292244,2,1,male,27,killed,1,1
2609688,6292251,1,1,male,28,other visible injury,1,1
2609689,6292251,2,1,male,30,killed,1,1
2609703,6292259,1,1,male,19,killed,1,1
2609712,6292264,1,1,female,46,killed,1,1
2609722,6292269,2,1,male,24,killed,1,1
2609725,6292272,1,1,male,24,killed,1,1
2609729,6292275,2,1,male,54,killed,1,1
2609740,6292281,1,1,male,47,killed,1,1
2609770,6292293,1,1,male,20,killed,1,1
2609771,6292293,2,1,female,55,complaint of pain,1,0
2609796,6292300,1,1,male,28,killed,1,1
2609807,6292304,1,1,male,24,killed,1,1
2609808,6292305,1,1,male,60,killed,1,1
2609815,6292308,1,1,male,46,killed,1,1
2609822,6292313,1,1,male,60,killed,1,2
2609839,6292321,2,1,male,56,killed,1,1
2609848,6292324,1,2,male,61,no injury,3,0
2609849,6292324,2,1,male,35,killed,1,1
2609857,6292329,1,2,male,21,other visible injury,3,0
2609858,6292329,2,1,male,56,killed,1,3
2609865,6292333,1,1,female,89,complaint of pain,1,0
2609866,6292333,2,1,male,22,killed,1,1
2609871,6292336,1,1,male,25,killed,1,1
2609937,6292371,1,1,male,29,killed,1,1
2609988,6292391,1,2,male,72,severe injury,3,0
2609989,6292391,2,1,male,20,killed,1,0
2609990,6292391,2,2,male,20,severe injury,2,1
